189,1,504.00,216.00,606.00,534.00,0.5854,1,-1,-1
191,1,417.00,165.00,693.00,606.00,0.6085,1,-1,-1
194,1,276.00,174.00,822.00,624.00,0.8697,1,-1,-1
195,1,258.00,186.00,831.00,606.00,0.8380,1,-1,-1
196,1,246.00,195.00,846.00,603.00,0.8330,1,-1,-1
198,1,243.00,210.00,846.00,603.00,0.8577,1,-1,-1
199,1,234.00,216.00,855.00,600.00,0.8375,1,-1,-1
200,1,228.00,225.00,852.00,591.00,0.8577,1,-1,-1
201,1,222.00,186.00,852.00,636.00,0.8777,1,-1,-1
202,1,225.00,213.00,807.00,615.00,0.8668,1,-1,-1
203,1,225.00,213.00,807.00,615.00,0.8673,1,-1,-1
204,1,219.00,231.00,765.00,600.00,0.8449,1,-1,-1
205,1,216.00,222.00,723.00,612.00,0.6387,1,-1,-1
208,1,192.00,252.00,876.00,573.00,0.7980,1,-1,-1
209,1,189.00,255.00,879.00,570.00,0.7988,1,-1,-1
212,1,165.00,168.00,888.00,666.00,0.8689,1,-1,-1
213,1,156.00,165.00,888.00,648.00,0.8804,1,-1,-1
214,1,150.00,165.00,885.00,639.00,0.8678,1,-1,-1
215,1,147.00,165.00,888.00,639.00,0.8657,1,-1,-1
216,1,147.00,162.00,882.00,636.00,0.8702,1,-1,-1
218,1,126.00,186.00,894.00,609.00,0.8177,1,-1,-1
223,1,195.00,165.00,810.00,657.00,0.8782,1,-1,-1
226,1,87.00,159.00,876.00,666.00,0.8923,1,-1,-1
227,1,87.00,159.00,876.00,666.00,0.8922,1,-1,-1
228,1,90.00,159.00,909.00,672.00,0.8537,1,-1,-1
229,1,93.00,165.00,909.00,675.00,0.9009,1,-1,-1
230,1,96.00,198.00,921.00,639.00,0.8882,1,-1,-1
231,1,102.00,207.00,912.00,633.00,0.8526,1,-1,-1
238,1,129.00,156.00,942.00,711.00,0.7710,1,-1,-1
241,1,138.00,126.00,939.00,729.00,0.8692,1,-1,-1
242,1,138.00,111.00,939.00,738.00,0.8930,1,-1,-1
243,1,135.00,102.00,945.00,741.00,0.8979,1,-1,-1
244,1,138.00,102.00,942.00,741.00,0.8570,1,-1,-1
245,1,138.00,102.00,942.00,741.00,0.8572,1,-1,-1
246,1,132.00,102.00,948.00,753.00,0.8652,1,-1,-1
249,1,159.00,111.00,927.00,738.00,0.8464,1,-1,-1
250,1,132.00,108.00,960.00,744.00,0.8764,1,-1,-1
251,1,132.00,108.00,960.00,744.00,0.8765,1,-1,-1
252,1,135.00,105.00,963.00,729.00,0.8736,1,-1,-1
